2019-03-12 18:32:30,921 - ClusterTrainer - INFO - |  Hyperparameter  |         Value         |
| :--------------- | :-------------------- |
| lr               | 3.344654774494276e-05 |
| code_size        | 68                    |
| lin2_in_channels | 117                   |
| dropout          | 0.3063729927050812    |

2019-03-12 18:32:30,923 - ClusterTrainer - INFO - Train Epoch: 0
2019-03-12 18:32:31,008 - ClusterTrainer - INFO -    > [128/517313 (0%), 39.29s] Loss: 0.076723 
2019-03-12 18:32:34,022 - ClusterTrainer - INFO -    > [8192/517313 (2%), 38.57s] Loss: 0.038793 
2019-03-12 18:32:37,031 - ClusterTrainer - INFO -    > [16256/517313 (3%), 37.74s] Loss: 0.023063 
2019-03-12 18:32:40,038 - ClusterTrainer - INFO -    > [24320/517313 (5%), 37.35s] Loss: 0.026755 
2019-03-12 18:32:43,056 - ClusterTrainer - INFO -    > [32384/517313 (6%), 37.00s] Loss: 0.022936 
2019-03-12 18:32:46,056 - ClusterTrainer - INFO -    > [40448/517313 (8%), 36.09s] Loss: 0.017503 
2019-03-12 18:32:49,065 - ClusterTrainer - INFO -    > [48512/517313 (9%), 35.42s] Loss: 0.011376 
2019-03-12 18:32:52,071 - ClusterTrainer - INFO -    > [56576/517313 (11%), 35.23s] Loss: 0.010497 
2019-03-12 18:32:55,074 - ClusterTrainer - INFO -    > [64640/517313 (12%), 34.55s] Loss: 0.010574 
2019-03-12 18:32:58,086 - ClusterTrainer - INFO -    > [72704/517313 (14%), 34.36s] Loss: 0.010929 
2019-03-12 18:33:01,090 - ClusterTrainer - INFO -    > [80768/517313 (16%), 32.91s] Loss: 0.010094 
2019-03-12 18:33:04,107 - ClusterTrainer - INFO -    > [88832/517313 (17%), 32.73s] Loss: 0.010205 
2019-03-12 18:33:07,132 - ClusterTrainer - INFO -    > [96896/517313 (19%), 32.06s] Loss: 0.010656 
2019-03-12 18:33:10,150 - ClusterTrainer - INFO -    > [104960/517313 (20%), 31.45s] Loss: 0.010510 
2019-03-12 18:33:13,172 - ClusterTrainer - INFO -    > [113024/517313 (22%), 31.02s] Loss: 0.009496 
2019-03-12 18:33:16,199 - ClusterTrainer - INFO -    > [121088/517313 (23%), 30.25s] Loss: 0.008867 
2019-03-12 18:33:19,218 - ClusterTrainer - INFO -    > [129152/517313 (25%), 29.74s] Loss: 0.009794 
2019-03-12 18:33:22,246 - ClusterTrainer - INFO -    > [137216/517313 (26%), 29.38s] Loss: 0.009393 
2019-03-12 18:33:25,269 - ClusterTrainer - INFO -    > [145280/517313 (28%), 28.12s] Loss: 0.009100 
2019-03-12 18:33:28,288 - ClusterTrainer - INFO -    > [153344/517313 (30%), 28.14s] Loss: 0.008568 
2019-03-12 18:33:31,319 - ClusterTrainer - INFO -    > [161408/517313 (31%), 27.58s] Loss: 0.008127 
2019-03-12 18:33:34,340 - ClusterTrainer - INFO -    > [169472/517313 (33%), 26.72s] Loss: 0.007982 
2019-03-12 18:33:37,367 - ClusterTrainer - INFO -    > [177536/517313 (34%), 26.24s] Loss: 0.008096 
2019-03-12 18:33:40,387 - ClusterTrainer - INFO -    > [185600/517313 (36%), 25.51s] Loss: 0.008201 
2019-03-12 18:33:43,407 - ClusterTrainer - INFO -    > [193664/517313 (37%), 24.56s] Loss: 0.008842 
2019-03-12 18:33:46,438 - ClusterTrainer - INFO -    > [201728/517313 (39%), 24.07s] Loss: 0.008035 
2019-03-12 18:33:49,457 - ClusterTrainer - INFO -    > [209792/517313 (41%), 23.54s] Loss: 0.007760 
2019-03-12 18:33:52,483 - ClusterTrainer - INFO -    > [217856/517313 (42%), 22.80s] Loss: 0.007183 
