2019-03-12 21:01:00,152 - ClusterTrainer - INFO - |  Hyperparameter  |        Value         |
| :--------------- | :------------------- |
| lr               | 0.000862571101762328 |
| code_size        | 59                   |
| lin2_in_channels | 54                   |
| dropout          | 0.3676896943156376   |

2019-03-12 21:01:00,154 - ClusterTrainer - INFO - Train Epoch: 0
2019-03-12 21:01:00,234 - ClusterTrainer - INFO -    > [128/517313 (0%), 38.05s] Loss: 0.074674 
2019-03-12 21:01:03,232 - ClusterTrainer - INFO -    > [8192/517313 (2%), 38.33s] Loss: 0.009345 
2019-03-12 21:01:06,226 - ClusterTrainer - INFO -    > [16256/517313 (3%), 37.13s] Loss: 0.007968 
2019-03-12 21:01:09,213 - ClusterTrainer - INFO -    > [24320/517313 (5%), 36.71s] Loss: 0.006623 
2019-03-12 21:01:12,203 - ClusterTrainer - INFO -    > [32384/517313 (6%), 36.36s] Loss: 0.005635 
2019-03-12 21:01:15,189 - ClusterTrainer - INFO -    > [40448/517313 (8%), 35.72s] Loss: 0.005530 
2019-03-12 21:01:18,172 - ClusterTrainer - INFO -    > [48512/517313 (9%), 35.11s] Loss: 0.004817 
2019-03-12 21:01:21,163 - ClusterTrainer - INFO -    > [56576/517313 (11%), 34.63s] Loss: 0.004675 
2019-03-12 21:01:24,156 - ClusterTrainer - INFO -    > [64640/517313 (12%), 33.77s] Loss: 0.004320 
2019-03-12 21:01:27,146 - ClusterTrainer - INFO -    > [72704/517313 (14%), 33.36s] Loss: 0.004014 
2019-03-12 21:01:30,134 - ClusterTrainer - INFO -    > [80768/517313 (16%), 32.35s] Loss: 0.004124 
2019-03-12 21:01:33,122 - ClusterTrainer - INFO -    > [88832/517313 (17%), 32.46s] Loss: 0.003303 
2019-03-12 21:01:36,109 - ClusterTrainer - INFO -    > [96896/517313 (19%), 31.44s] Loss: 0.003323 
2019-03-12 21:01:39,108 - ClusterTrainer - INFO -    > [104960/517313 (20%), 31.10s] Loss: 0.003550 
2019-03-12 21:01:42,119 - ClusterTrainer - INFO -    > [113024/517313 (22%), 30.52s] Loss: 0.003341 
2019-03-12 21:01:45,135 - ClusterTrainer - INFO -    > [121088/517313 (23%), 30.24s] Loss: 0.003210 
2019-03-12 21:01:48,164 - ClusterTrainer - INFO -    > [129152/517313 (25%), 29.64s] Loss: 0.003499 
2019-03-12 21:01:51,185 - ClusterTrainer - INFO -    > [137216/517313 (26%), 28.57s] Loss: 0.003090 
2019-03-12 21:01:54,204 - ClusterTrainer - INFO -    > [145280/517313 (28%), 28.39s] Loss: 0.003217 
2019-03-12 21:01:57,222 - ClusterTrainer - INFO -    > [153344/517313 (30%), 27.54s] Loss: 0.003268 
2019-03-12 21:02:00,250 - ClusterTrainer - INFO -    > [161408/517313 (31%), 27.04s] Loss: 0.003177 
2019-03-12 21:02:03,265 - ClusterTrainer - INFO -    > [169472/517313 (33%), 26.32s] Loss: 0.003119 
2019-03-12 21:02:06,282 - ClusterTrainer - INFO -    > [177536/517313 (34%), 25.79s] Loss: 0.003085 
2019-03-12 21:02:09,414 - ClusterTrainer - INFO -    > [185600/517313 (36%), 25.24s] Loss: 0.002860 
2019-03-12 21:02:12,428 - ClusterTrainer - INFO -    > [193664/517313 (37%), 24.35s] Loss: 0.003129 
2019-03-12 21:02:15,451 - ClusterTrainer - INFO -    > [201728/517313 (39%), 24.18s] Loss: 0.003005 
2019-03-12 21:02:18,475 - ClusterTrainer - INFO -    > [209792/517313 (41%), 23.20s] Loss: 0.002746 
2019-03-12 21:02:21,493 - ClusterTrainer - INFO -    > [217856/517313 (42%), 22.67s] Loss: 0.002582 
2019-03-12 21:02:24,514 - ClusterTrainer - INFO -    > [225920/517313 (44%), 22.04s] Loss: 0.002857 
2019-03-12 21:02:27,533 - ClusterTrainer - INFO -    > [233984/517313 (45%), 21.27s] Loss: 0.002847 
2019-03-12 21:02:30,555 - ClusterTrainer - INFO -    > [242048/517313 (47%), 20.72s] Loss: 0.002936 
2019-03-12 21:02:33,572 - ClusterTrainer - INFO -    > [250112/517313 (48%), 20.30s] Loss: 0.002828 
2019-03-12 21:02:36,591 - ClusterTrainer - INFO -    > [258176/517313 (50%), 19.66s] Loss: 0.002656 
2019-03-12 21:02:39,610 - ClusterTrainer - INFO -    > [266240/517313 (51%), 19.03s] Loss: 0.002731 
2019-03-12 21:02:42,623 - ClusterTrainer - INFO -    > [274304/517313 (53%), 18.34s] Loss: 0.002894 
2019-03-12 21:02:45,646 - ClusterTrainer - INFO -    > [282368/517313 (55%), 17.80s] Loss: 0.002515 
2019-03-12 21:02:48,670 - ClusterTrainer - INFO -    > [290432/517313 (56%), 17.20s] Loss: 0.002673 
2019-03-12 21:02:51,679 - ClusterTrainer - INFO -    > [298496/517313 (58%), 16.54s] Loss: 0.002604 
2019-03-12 21:02:54,689 - ClusterTrainer - INFO -    > [306560/517313 (59%), 16.05s] Loss: 0.002576 
2019-03-12 21:02:57,690 - ClusterTrainer - INFO -    > [314624/517313 (61%), 15.08s] Loss: 0.002518 
2019-03-12 21:03:00,698 - ClusterTrainer - INFO -    > [322688/517313 (62%), 14.87s] Loss: 0.002544 
2019-03-12 21:03:03,700 - ClusterTrainer - INFO -    > [330752/517313 (64%), 14.08s] Loss: 0.002687 
2019-03-12 21:03:06,702 - ClusterTrainer - INFO -    > [338816/517313 (65%), 13.59s] Loss: 0.002471 
2019-03-12 21:03:09,710 - ClusterTrainer - INFO -    > [346880/517313 (67%), 12.95s] Loss: 0.002419 
2019-03-12 21:03:12,712 - ClusterTrainer - INFO -    > [354944/517313 (69%), 12.24s] Loss: 0.002565 
